,short_description
0,बूम पाय इमरान खान भारत सरकार आलोच रह वर्तमान शासन अधिनायकवाद मुस्लिम विरोध पाकिस्तान 
1,सिख समुदाय के लोग हिंद साइन बोर्ड कालिख पोत दिख तस्वीर सेट वीडिय वायरल रह 
2,सोशल मीडिय प्लेटफ़ॉर्म फ़ेसबुक ट्विटर दाव के बड़ संख्य तस्वीर के पोस्ट शेयर किय रह है। 
3,दाव भाजप के मा सरकार जन के गलत रह । 
4,मीडिय आउटलेट्स वायर एजेंस गलत तरीक दाव किय पाकिस्तान के पूर्व राजनयिक बालाकोट मौत 
5,यूज़र्स तस्वीर शेयर दाव रह तस्वीर पुरा दिल्ल रेलव स्टेशन के प्लेटफ़ॉर्म बन मस्जिद 
6,बूम पाय मूल तस्वीर साल 2014 अमित शाह प्रधानमंत्र नरेंद्र मोद बध दे रह थे। 
7,बूम पाय वायरल तस्वीर साल 2018 उत्तर प्रदेश के उन्नाव हत्य है। 
8,दाव कोविड-19 के टीक लिंग लग वायरस जल्द राहत मिल 
9,दाव वायरल ब्रिटेन के प्रधानमंत्र किसान आंदोलन के कारण भारत दौर रद्द किय 
10,दाव किय गय तस्वीर बड़ संख्य दिल्ल सीम एकत्र किसान के टेंट्स दिख 
11,दाव किय रह वीडिय किसान आंदोलन 26 जनवर वाल परेड तैयार दिख 
12,हिंद अख़बार पत्रिक न्यूज़ चैनल्स ज़ी न्यूज़ एबीप समेत न्यूज़ संस्थान पेड कंटेंट योग आदित्यनाथ के 
13,इंदौर शो के हिन्द देव देव अमित शाह कथित अभद्र टिप्पण के आरोप मुनव्वर फ़ारूक गिरफ़्तार 
14,दाव पाकिस्तान उपद्रव द्वार मंदिर तोड़ मुसलमान प्रदर्शन रह 
15,सोशल मीडिय दाव वायरल चक् खा गिर दिख रह वृद्ध मृत्य गय 
16,बूम पाय वीडिय भारत नह 
17,दाव किय रह किसान द्वार जिय टॉवर जल गय 
18,दाव अमित शाह राम मंदिर ना बन कह रह नरेंद्र मोद मुसलमान किसान मार दाव रह 
19,दाव किय गय तस्वीर आरएसएस के शिविर तस्वीर अन् हज़ार नरेंद्र मोद हैं। 
20,दाव तस्वीर अटल बिहार वाजपेय अप माँ गोद दिख 
21,बी दिन तस्वीर वाराणस जोड़ सोशल मीडिय प्लेटफ़ॉर्म शेयर किय रह था। 
22,दाव किय रह अडा ग्रुप के हाथ के प्लेटफॉर्म टिकट के दाम दस गु बढ़ दिए 
23,वीडिय के दाव किय गय जह #पथराव किय गय #उज्जैन #दृश्य है! #हिन्दुओ 
24,वीडिय के दाव कोविड-19 महामार के मुकेश अम्बा के घर समारोह 
25,दाव किय रह कर्नाटक के हुबल इस्माइल नाम के मुस्लिम युवक हिन्द महिल आश हत्य दी। 
26,तस्वीर के सोशल मीडिय दाव किय रह सूरत सिंह किसान के अन्न जल त्याग दिय 
27,किसान आंदोलन जोड़ तस्वीर सोशल मीडिय यूज़र्स श्रद्धांजल अर्पित शेयर रह हैं। 
28,सोशल मीडिय मंदिर तस्वीर के दाव किय रह जबक तस्वीर अयोध्य नह 
29,सोशल मीडिय दाव मा गुरुद्वार समित जानबूझ गलीच हट ताक प्रधानमंत्र ठण्ड नीच चल पड़ 
30,अजीत अंजुम बात के वायरल वीडिय सच्च पत लगाया। पढ़ बूम रिपोर्ट 
31,आम आदम पार्ट बिधूड़ वीडिय क्लिप शेयर किय इसक वास्तविक लेख 
32,सोशल मीडिय दाव के अनुसार बिलकिस बान 19 दिन जेल 
33,बूम पाय वायरल वीडिय वर्ष 2017 दार्जीलिंग घटित घट सम्बन्ध रख 
34,दाव दिल्ल पुलिस के पुलिसकर्म कार मुस्लिम युवक बाइक लग पुलिसकर्म उसक माँ गोल चल दी। 
35,बूम पाय स्टार्ट-अप तस्वीर बेंगलुर 2019 शुर किय गय 
36,हालांक बिहार के राजगीर शीश पुल बन ज़रूर वायरल तस्वीर ब्रिज नह 
37,बूम पाय वायरल तस्वीर किसान आंदोलन संबंध नह रख बल्क केरल फ़रवर 2020 एंट सीएए प्रदर्शन 
38,बूम पाय वीडिय क्लिप दिख रह व्यक्त पाकिस्ता पत्रकार नह बल्क भारत के मोटिवेशनल स्पी हर्षवर्धन 
39,सोशल मीडिय वायरल दाव मा अहमदाबाद एयरपोर्ट नाम सरदार वल्लभभ पटेल अडा एयरपोर्ट गय । 
40,हालिय किसान प्रदर्शन के तस्वीर दाव के वायरल प्रधानमंत्र गौतम अडा पत् झुक प्रणाम 
41,बूम पाय तस्वीर 1994 नरेंद्र मोद गुजरात के पूर्व मंत्र पुत्र अल्प चपतवाल शाद शामिल 
42,दाव तस्वीर दिख करीब 250 मिलियन लोग किसान आंदोलन के समर्थन आय 
43,अडा विलमार ब्रांडिंग दरअसल लोकोमोटिव ब्रांडिंग हिस्स रेलवेज़ राजस्व मदद 
44,वीडिय के दाव किय गय महिल सलाम #Lovejihad असल मतलब समझ 
45,दाव किसान भाजप उमेश सिंह इसल पीट क्यूंक पाकिस्तान ज़िंदाबाद के नार लग 
46,वायरल तस्वीर चौक के बड़ा-स गद धनुष बाण बन देख सक है। 
47,बूम पाय वायरल तस्वीर एडिटिंग ऐप फ़ेसऐप इस्तेमाल करक बन गय है। 
48,दाव तस्वीर वर्तमान विपक्ष दल द्वार भारत के तोड़फोड़ दिख 
