,short_description
0,भारत ऑस्ट्रेलिय टेस्ट सिरीज़ ऐतिहासिक जीत दर्ज चौथ निर्णायक मैच नौजवान गेंदबाज़ मोहम्मद सिराज अहम भूमिक निभ 
1,ब्रिस्बेन टेस्ट भारत दीवार कह वाल चेतेश्वर पुजार अर्धशतक जम पार के वो चोटिल ऑस्ट्रेलिय गेंदबाज़ गेंद उनक शरीर लग 
2,पाकिस्ता टीव प्रेजेंटर सैय्यद इक़रारुल हसन अप ट्वीट के कारण निश आ उन्ह देशद्रोह कह लग 
3,पूछ जाए दिल्ल पहल गणतंत्र दिवस परेड कह इसक जवाब वो राजपथ देग सह नह 
4,वेब सिरीज़ तांडव ले जार विवाद कार्टून 
5,बेक समझौ H1B वीज़ के नए नियम क्वॉड समूह गठन - ऐस फैसल ट्रंप कार्यकाल अमेरिका-भारत के क्य ट्रंप शासन भारत के सब अच्छा-अच्छ रह 
6,विपक्ष कांग्रेस पार्ट सरकार स्थित स्पष्ट कह दूसर ओर सरकार कह स्थित उसक नज़र 
7,बाइडन-कमल हैरिस टीम अप प्रशासन के भारतीय मूल के 20 अमेरिक सदस्य घोषण उन्ह पद के चु 
8,लंब कूद खिलाड़ शैल सिंह बी जम स्टार खिलाड़ अंज बॉब जॉर्ज विरासत संभाल काबिलियत रख 
9,बाइडन अमेरिक के अगल राष्ट्रपत बन कमल हैरिस उप-राष्ट्रपत पद शपथ ली ट्रंप शपथग्रहण समारोह शामिल मन दिय फ़्लोरिड चल 
10,मोहम्मद सिराज शार्दुल ठाकुर वॉशिंगटन सुंदर हनुम विहार शुभमन गिल ऋषभ पंत जैस यंग ब्लड ऑस्ट्रेलिय जख़्म टीम इंडिय मान नई ऊर्ज भर दी 
11,ब्रिसबेन के गाब मैदान टेस्ट मैच इतिहास दर्ज चुक के भारत सिरीज़ अप नाम 
12,सिराज संकल्प पंत परिपक्व शुभमन संयम पुजार परिश्रम शार्दुल सुंदर साहस दास्त भारत युव शक्त 
13,हिंदुस्तान ज़मीन हज़ार मील ऑस्ट्रेलिय धर जैस बी महीन जीवन पूर सार लिख दिय गय 
14,स्वास्थ्य मंत्रालय द्वार जार आँकड़ के मुताबिक़ कर्नाटक ओडिश पंजाब पश्चिम बंगाल तेलंग वो राज्य जह सबस ज़्याद लोग टीक लग बाक़ राज्य क्य पिछड़ रह 
15,गुजरात के सूरत कोसाम्ब के पास दर्दनाक हादस सड़क के नज़दीक रह मज़दूर के ट्रक गुज़र गय 
16,भारत रूस के रिश्त बढ़ अटकल के रूस विदेश मंत्र सर्गेइ लवरोव सोमवार कह रूस के भारत ख़ास 
17,पूर दुनिय भर फैल बीबीस के दर्शक पाठक श्रो बीबीस भारतीय भाष के प्लेटफॉर्म बीबीस स्पोर्ट वेबसाइट चु खिलाड़ के पक्ष वोटिंग वोटिंग के आधार जीत वाल खिलाड़ के नाम ऐलान 8 मार्च किय जाएग 
18,भारत ऑस्ट्रेलिय उसक अपराजेय मा रह गाब धूल चट सोशल मीडिय लोग लग चौके-छक्क 
19,रैल लोग तख़्त जिनम मोद समेत दुनिय के तस्वीर थीं लिख सिंध पाकिस्तान आज़ाद चाह 
20,सिरीज़ ऋषभ पंत चेतेश्वर पुजार शुभमन गिल शार्दुल ठाकुर मोहम्मद सिराज जैस खिलाड़ बेहद निर्णायक भूमिक निभ वो दिख दिन पहल लगभग असंभव सा लग रह 
21,भारत ऑस्ट्रेलिय यादगार जीत ऋषभ पंत शुभमन पुजार के बल्ल लिख इबारत 
22,गुजरात के मुख्यमंत्र विजय रूपाण मृतक के परिजन 2 लाख रुपय अनुग्रह राश दे घोषण 
23,भारतीय महिल कबड्ड टीम खिलाड़ सोनाल विष्ण शिंगेट महाराष्ट्र के बेहद आम पृष्ठभूम वाल परिवार आत 
24,भारत कोरो टीकाकरण शुर तीन दिन चुक भारत सरकार के स्वास्थ्य मंत्रालय के मुताबिक़ 3 लाख 81 हज़ार ज़्याद लोग कोरो टीक लग चुक 
25,पाकिस्ता टीव शो होस्ट वाल इक़रारुल हसन भारत तारीफ़ लोग उन्ह ग़द्दार कह लग उनक बचाव पाकिस्तान हस्त साम आईं 
26,13 साल उम्र इंस्टाग्राम 60 हज़ार फ़ॉलोअर्स यूट्यूब पौ लाख सब्सक्राइबर्स इत उमर् मशहूर लड़क मलीश मुंबई झुग्ग रह 
27,भारत दुनिय के सबस बड़ टीकाकरण कार्यक्रम शुरुआत चुक लोग के मन वैक्सीन ले संदेह क्य 
28,पुरुलिय सभ संबोधित मम बनर्ज कह पढ़ दिनभर सभ बड़ ज़रूर ख़बर बीबीस हिंद के लाइव पन् 
29,रिपब्लिक मीडिय नेटवर्क के एडिटर-इन-चीफ़ अर्नब गोस्वाम बार्क के पूर्व सीईओ पार्थ दासगुप् के कथित व्हॉट्सएप चैट्स के लीक विवाद पाकिस्तान पहुँच गय 
30,हाल नेपाल के विदेश मंत्र प्रदीप ज्ञवाल भारत दौर आए ऐस संभाव वो भारतीय प्रधानमंत्र मुलाक़ात ऐस नह सक 
31,मोहम्मद सिराज शार्दुल ठाकुर प्रभावशाल गेंदबाज़ ऑस्ट्रेलिय टीम दूसर पार 294 आउट 
32,ओलंपिक पदक विजे साक्ष मलिक सोनम लगातार बार हर सनस फैल दी 
33,देश कोरो वायरस वैक्सीन 16 जनवर लोग दिए के इलाक इसक साइड इफेक्ट ख़बर आ रह थीं स्वास्थ्य मंत्रालय इसक पुष्ट इसक बार विस्तार बत 
34,किसान संघर्ष समित आरोप सरकार के इशार लोग आंदोलन हिंसक बन चाह 
36,रामपुर सहसवान घर ताल्लुक रख वाल शास्त्रीय संगीतकार उस्ताद ग़ुलाम मुस्तफ़ ख़ान 89 वर्ष उम्र निधन गय 
37,भारतीय वाय के प्रमुख एयर मार्शल आरकेएस भदौरिय कह स्वदेश लड़ाक विमान- तेजस बालाकोट जैस सर्जिकल स्ट्राइक बारीक अंज़ाम दे मददगार होग 
